internal_taxon_name;taxonKey
Thalera fimbrialis;1963306
Thalpophila matura;5110213
Thaumetopoea pityocampa;1824131
Thaumetopoea solitaria;1824130
Thera cognata;5148486
Thera juniperata;5148462
Thera variata;5148436
Theresimima ampellophaga;4522744
Tholera decimalis;1771509
Timandra comae;1966017
Microsphecia brosiformis;210582498
Trachea atriplicis;1760593
Trichoplusia ni;1786360
Trigonophora flammea;1763697
Triodia adriaticus;9182336
Triodia amasinus;8871600
Triodia sylvina;6097236
Triphosa dubitata;193536331
Triphosa sabaudiata;1969958
Trisateles emortualis;1798346
Tyria jacobaeae;5115777
Tyta luctuosa;1790692
Utetheisa pulchella;1803163
Watsonalla binaria;1952806
Watsonarctia deserta;1809210
Xanthodes albago;5114409
Xanthorhoe fluctuata;1986157
Xanthorhoe montanata;1986220
Xanthorhoe spadicearia;1986166
Xenochlorodes olympiaria;1954490
Xestia ashworthii;8043500
Xestia c-nigrum;5714973
Xestia castanea;5112336
Xestia ochreago;5112160
Xestia triangulum;5772351
Xestia xanthographa;5112283
Xylena lunifera;1790368
Dichagyris forcipula;4533906
Zanclognatha lunalis;4532508
Zanclognatha zelleralis;4532510
Zebeeba falsalis;1783882
Zeuzera pyrina;1730978
Zygaena angelicae;5107128
Zygaena brizae;5106362
Zygaena carniolica;7903078
Zygaena ephialtes;165460605
Zygaena exulans;7955974
Zygaena filipendulae;5107219
Zygaena laeta;5106115
Zygaena lonicerae;127655187
Zygaena loti;7674502
Zygaena minos;5107829
Zygaena osterodensis;5106973
Zygaena punctum;5106164
Zygaena purpuralis;5105958
Zygaena sedi;5106008
Zygaena viciae;5107644
Oligia latruncula;1766410
Oligia strigilis;7895336
Acronicta auricoma;1782927
Actias isabellae;4526928
Aglia tau;5124911
Amphipyra cinnamomea;4534697
Catocala fraxini;1797479
Crocallis elinguaria;1990551
Crocota peletieraria;1961378
Cucullia scrophulariae;5109748
Epirrhoe tristata;1964653
Euchalcia variabilis;1770530
Eupithecia ochridata;1983239
Hadena ruetimeyeri;1787945
Idaea squalidaria;5147238
Isturgia limbaria;1987578
Perizoma flavosparsata;1972146
Sciadia septaria;1968354
Sphinx maurorum;5124151
Xylena exsoleta;1790364
Zygaena fausta;8348761
Zygaena transalpina;5106940
Zygaena trifolii;7761138
Tephronia lepraria;4524451
Abraxas sylvata;1967815
Abrostola asclepiadis;1767608
Acasis appensata;1968206
Acasis viretata;7681733
Achlya flavicornis;1952229
Acosmetia caliginosa;8150836
Acossus terebra;4525641
Acronicta alni;1782726
Acronicta cuspis;7825213
Acronicta leporina;1783043
Acronicta menyanthidis;1783037
Acronicta strigosa;1782841
Actebia fugax;4533824
Actebia praecox;1787504
Actinotia polyodon;1792292
Adscita alpina;4522773
Aethalura punctulata;1990150
Agriopis aurantiaria;5769072
Agriopis bajaria;7429212
Agriopis marginaria;5769068
Sunira circellaris;10638451
Agrochola humilis;1790153
Agrochola laevis;8047343
Agrochola litura;1789982
Agrochola lota;1790084
Agrochola macilenta;1790072
Agrochola nitida;1790062
Agrochola ruticilla;10904813
Agrotis clavis;1770790
